hello world!
I am running on Raspberry Pi !!!!


 idxCount = 315 
 charge/discharge patten does not change 

 idx, Predict, Observed, AE, SE, APE(%), PredictNorm, ObservedNorm 
    4, [693.9081, 312], [0.000000, 0.000000, 0.000000], 0.592229, 0.265810 
    4, [630.7943, 312], [0.000000, 0.000000, 0.000000], 0.538286, 0.265810 
    4, [601.8621, 312], [0.000000, 0.000000, 0.000000], 0.513557, 0.265810 
    4, [578.0534, 312], [0.000000, 0.000000, 0.000000], 0.493208, 0.265810 
    4, [549.6695, 312], [237.669513, 56486.797615, 76.176126], 0.468948, 0.265810 
    9, [686.1468, 307], [0.000000, 0.000000, 0.000000], 0.585596, 0.261540 
    9, [621.9252, 307], [0.000000, 0.000000, 0.000000], 0.530705, 0.261540 
    9, [594.7199, 307], [0.000000, 0.000000, 0.000000], 0.507453, 0.261540 
    9, [571.0682, 307], [0.000000, 0.000000, 0.000000], 0.487238, 0.261540 
    9, [542.7024, 307], [235.702351, 55555.598207, 76.776010], 0.462993, 0.261540 
   14, [677.0476, 302], [0.000000, 0.000000, 0.000000], 0.577818, 0.257260 
   14, [609.0081, 302], [0.000000, 0.000000, 0.000000], 0.519665, 0.257260 
   14, [588.9786, 302], [0.000000, 0.000000, 0.000000], 0.502546, 0.257260 
   14, [565.2929, 302], [0.000000, 0.000000, 0.000000], 0.482302, 0.257260 
   14, [536.5760, 302], [234.575960, 55025.881094, 77.674159], 0.457757, 0.257260 
   19, [672.6829, 297], [0.000000, 0.000000, 0.000000], 0.574088, 0.252990 
   19, [609.7939, 297], [0.000000, 0.000000, 0.000000], 0.520337, 0.252990 
   19, [581.7786, 297], [0.000000, 0.000000, 0.000000], 0.496392, 0.252990 
   19, [558.2822, 297], [0.000000, 0.000000, 0.000000], 0.476310, 0.252990 
   19, [530.1342, 297], [233.134184, 54351.547573, 78.496358], 0.452251, 0.252990 
   24, [662.9009, 292], [0.000000, 0.000000, 0.000000], 0.565727, 0.248720 
   24, [590.7511, 292], [0.000000, 0.000000, 0.000000], 0.504061, 0.248720 
   24, [581.3277, 292], [0.000000, 0.000000, 0.000000], 0.496007, 0.248720 
   24, [557.6729, 292], [0.000000, 0.000000, 0.000000], 0.475789, 0.248720 
   24, [529.2049, 292], [237.204858, 56266.144614, 81.234540], 0.451457, 0.248720 
   29, [674.4832, 287], [0.000000, 0.000000, 0.000000], 0.575627, 0.244440 
   29, [621.8574, 287], [0.000000, 0.000000, 0.000000], 0.530647, 0.244440 
   29, [576.2240, 287], [0.000000, 0.000000, 0.000000], 0.491644, 0.244440 
   29, [554.1432, 287], [0.000000, 0.000000, 0.000000], 0.472772, 0.244440 
   29, [528.5488, 287], [241.548802, 58345.823561, 84.163346], 0.450896, 0.244440 
   34, [650.8947, 282], [0.000000, 0.000000, 0.000000], 0.555466, 0.240170 
   34, [588.2467, 282], [0.000000, 0.000000, 0.000000], 0.501920, 0.240170 
   34, [560.5559, 282], [0.000000, 0.000000, 0.000000], 0.478253, 0.240170 
   34, [537.2310, 282], [0.000000, 0.000000, 0.000000], 0.458317, 0.240170 
   34, [509.2345, 282], [227.234498, 51635.517092, 80.579609], 0.434388, 0.240170 
   39, [643.8503, 277], [0.000000, 0.000000, 0.000000], 0.549445, 0.235900 
   39, [580.6458, 277], [0.000000, 0.000000, 0.000000], 0.495424, 0.235900 
   39, [553.4007, 277], [0.000000, 0.000000, 0.000000], 0.472137, 0.235900 
   39, [530.1410, 277], [0.000000, 0.000000, 0.000000], 0.452257, 0.235900 
   39, [502.2441, 277], [225.244139, 50734.921988, 81.315574], 0.428414, 0.235900 
   44, [636.8261, 272], [0.000000, 0.000000, 0.000000], 0.543441, 0.231620 
   44, [572.7331, 272], [0.000000, 0.000000, 0.000000], 0.488661, 0.231620 
   44, [547.5908, 272], [0.000000, 0.000000, 0.000000], 0.467172, 0.231620 
   44, [524.2154, 272], [0.000000, 0.000000, 0.000000], 0.447193, 0.231620 
   44, [496.0983, 272], [224.098306, 50220.050684, 82.389083], 0.423161, 0.231620 
   49, [629.1138, 267], [0.000000, 0.000000, 0.000000], 0.536849, 0.227350 
   49, [564.4797, 267], [0.000000, 0.000000, 0.000000], 0.481607, 0.227350 
   49, [541.9640, 267], [0.000000, 0.000000, 0.000000], 0.462362, 0.227350 
   49, [518.4970, 267], [0.000000, 0.000000, 0.000000], 0.442305, 0.227350 
   49, [490.0017, 267], [223.001690, 49729.753854, 83.521232], 0.417950, 0.227350 
   54, [627.6901, 262], [0.000000, 0.000000, 0.000000], 0.535633, 0.223080 
   54, [563.8169, 262], [0.000000, 0.000000, 0.000000], 0.481040, 0.223080 
   54, [540.7833, 262], [0.000000, 0.000000, 0.000000], 0.461353, 0.223080 
   54, [517.6981, 262], [0.000000, 0.000000, 0.000000], 0.441622, 0.223080 
   54, [490.2515, 262], [228.251451, 52098.725052, 87.118875], 0.418164, 0.223080 
   59, [628.9363, 257], [0.000000, 0.000000, 0.000000], 0.536698, 0.218800 
   59, [569.8513, 257], [0.000000, 0.000000, 0.000000], 0.486198, 0.218800 
   59, [529.9694, 257], [0.000000, 0.000000, 0.000000], 0.452111, 0.218800 
   59, [507.1548, 257], [0.000000, 0.000000, 0.000000], 0.432611, 0.218800 
   59, [480.5919, 257], [223.591862, 49993.320638, 87.000724], 0.409908, 0.218800 
   64, [609.3080, 252], [0.000000, 0.000000, 0.000000], 0.519921, 0.214530 
   64, [546.7956, 252], [0.000000, 0.000000, 0.000000], 0.466492, 0.214530 
   64, [520.8133, 252], [0.000000, 0.000000, 0.000000], 0.444285, 0.214530 
   64, [497.5561, 252], [0.000000, 0.000000, 0.000000], 0.424407, 0.214530 
   64, [469.4841, 252], [217.484108, 47299.337285, 86.303218], 0.400414, 0.214530 
   69, [604.7385, 247], [0.000000, 0.000000, 0.000000], 0.516016, 0.210260 
   69, [541.7608, 247], [0.000000, 0.000000, 0.000000], 0.462189, 0.210260 
   69, [514.4435, 247], [0.000000, 0.000000, 0.000000], 0.438841, 0.210260 
   69, [491.2972, 247], [0.000000, 0.000000, 0.000000], 0.419057, 0.210260 
   69, [463.4242, 247], [216.424243, 46839.452956, 87.621151], 0.395234, 0.210260 
   74, [595.1881, 242], [0.000000, 0.000000, 0.000000], 0.507853, 0.205980 
   74, [533.2898, 242], [0.000000, 0.000000, 0.000000], 0.454949, 0.205980 
   74, [508.0271, 242], [0.000000, 0.000000, 0.000000], 0.433356, 0.205980 
   74, [484.5767, 242], [0.000000, 0.000000, 0.000000], 0.413313, 0.205980 
   74, [456.2152, 242], [214.215201, 45888.152243, 88.518678], 0.389073, 0.205980 
   79, [591.5997, 237], [0.000000, 0.000000, 0.000000], 0.504786, 0.201710 
   79, [527.7947, 237], [0.000000, 0.000000, 0.000000], 0.450252, 0.201710 
   79, [501.2862, 237], [0.000000, 0.000000, 0.000000], 0.427595, 0.201710 
   79, [478.0731, 237], [0.000000, 0.000000, 0.000000], 0.407755, 0.201710 
   79, [449.8974, 237], [212.897368, 45325.289174, 89.830113], 0.383673, 0.201710 
   84, [586.9294, 232], [0.000000, 0.000000, 0.000000], 0.500794, 0.197440 
   84, [524.1712, 232], [0.000000, 0.000000, 0.000000], 0.447155, 0.197440 
   84, [495.2523, 232], [0.000000, 0.000000, 0.000000], 0.422438, 0.197440 
   84, [472.1292, 232], [0.000000, 0.000000, 0.000000], 0.402675, 0.197440 
   84, [444.4909, 232], [212.490910, 45152.387043, 91.590910], 0.379052, 0.197440 
   89, [578.2162, 227], [0.000000, 0.000000, 0.000000], 0.493347, 0.193160 
   89, [518.2652, 227], [0.000000, 0.000000, 0.000000], 0.442107, 0.193160 
   89, [489.0055, 227], [0.000000, 0.000000, 0.000000], 0.417099, 0.193160 
   89, [465.7400, 227], [0.000000, 0.000000, 0.000000], 0.397214, 0.193160 
   89, [437.5508, 227], [210.550785, 44331.632966, 92.753650], 0.373120, 0.193160 
   94, [573.1435, 222], [0.000000, 0.000000, 0.000000], 0.489012, 0.188890 
   94, [514.0562, 222], [0.000000, 0.000000, 0.000000], 0.438510, 0.188890 
   94, [482.3999, 222], [0.000000, 0.000000, 0.000000], 0.411453, 0.188890 
   94, [459.0745, 222], [0.000000, 0.000000, 0.000000], 0.391517, 0.188890 
   94, [430.9226, 222], [208.922645, 43648.671710, 94.109300], 0.367455, 0.188890 
   99, [565.6129, 217], [0.000000, 0.000000, 0.000000], 0.482575, 0.184620 
   99, [503.1491, 217], [0.000000, 0.000000, 0.000000], 0.429187, 0.184620 
   99, [475.3322, 217], [0.000000, 0.000000, 0.000000], 0.405412, 0.184620 
   99, [451.9034, 217], [0.000000, 0.000000, 0.000000], 0.385388, 0.184620 
   99, [423.4007, 217], [206.400720, 42601.257110, 95.115539], 0.361026, 0.184620 
  104, [557.8168, 212], [0.000000, 0.000000, 0.000000], 0.475912, 0.180340 
  104, [495.3707, 212], [0.000000, 0.000000, 0.000000], 0.422539, 0.180340 
  104, [468.7589, 212], [0.000000, 0.000000, 0.000000], 0.399794, 0.180340 
  104, [445.1565, 212], [0.000000, 0.000000, 0.000000], 0.379621, 0.180340 
  104, [416.4911, 212], [204.491124, 41816.619831, 96.458077], 0.355121, 0.180340 
  109, [547.8660, 207], [0.000000, 0.000000, 0.000000], 0.467407, 0.176070 
  109, [487.3270, 207], [0.000000, 0.000000, 0.000000], 0.415664, 0.176070 
  109, [462.1272, 207], [0.000000, 0.000000, 0.000000], 0.394126, 0.176070 
  109, [438.1472, 207], [0.000000, 0.000000, 0.000000], 0.373630, 0.176070 
  109, [408.5760, 207], [201.576046, 40632.902279, 97.379732], 0.348356, 0.176070 
  114, [552.3555, 202], [0.000000, 0.000000, 0.000000], 0.471244, 0.171790 
  114, [490.3410, 202], [0.000000, 0.000000, 0.000000], 0.418240, 0.171790 
  114, [457.8130, 202], [0.000000, 0.000000, 0.000000], 0.390438, 0.171790 
  114, [434.8529, 202], [0.000000, 0.000000, 0.000000], 0.370814, 0.171790 
  114, [406.9041, 202], [204.904051, 41985.670087, 101.437649], 0.346927, 0.171790 
  119, [541.4741, 197], [0.000000, 0.000000, 0.000000], 0.461944, 0.167520 
  119, [479.9919, 197], [0.000000, 0.000000, 0.000000], 0.409395, 0.167520 
  119, [450.5610, 197], [0.000000, 0.000000, 0.000000], 0.384240, 0.167520 
  119, [426.8231, 197], [0.000000, 0.000000, 0.000000], 0.363951, 0.167520 
  119, [397.9471, 197], [200.947087, 40379.731750, 102.003597], 0.339271, 0.167520 
  124, [537.1219, 192], [0.000000, 0.000000, 0.000000], 0.458224, 0.163250 
  124, [470.1891, 192], [0.000000, 0.000000, 0.000000], 0.401016, 0.163250 
  124, [444.0289, 192], [0.000000, 0.000000, 0.000000], 0.378657, 0.163250 
  124, [420.3389, 192], [0.000000, 0.000000, 0.000000], 0.358409, 0.163250 
  124, [391.3605, 192], [199.360497, 39744.607772, 103.833592], 0.333641, 0.163250 
  129, [534.8407, 187], [0.000000, 0.000000, 0.000000], 0.456274, 0.158970 
  129, [462.6055, 187], [0.000000, 0.000000, 0.000000], 0.394535, 0.158970 
  129, [437.4117, 187], [0.000000, 0.000000, 0.000000], 0.373001, 0.158970 
  129, [413.6018, 187], [0.000000, 0.000000, 0.000000], 0.352651, 0.158970 
  129, [384.5989, 187], [197.598896, 39045.323843, 105.667859], 0.327862, 0.158970 
  134, [529.0858, 182], [0.000000, 0.000000, 0.000000], 0.451355, 0.154700 
  134, [455.9582, 182], [0.000000, 0.000000, 0.000000], 0.388853, 0.154700 
  134, [431.0784, 182], [0.000000, 0.000000, 0.000000], 0.367588, 0.154700 
  134, [407.2341, 182], [0.000000, 0.000000, 0.000000], 0.347209, 0.154700 
  134, [377.6430, 182], [195.642993, 38276.180753, 107.496150], 0.321917, 0.154700 
  139, [512.6651, 177], [0.000000, 0.000000, 0.000000], 0.437321, 0.150430 
  139, [447.4192, 177], [0.000000, 0.000000, 0.000000], 0.381555, 0.150430 
  139, [422.2742, 177], [0.000000, 0.000000, 0.000000], 0.360063, 0.150430 
  139, [397.7651, 177], [0.000000, 0.000000, 0.000000], 0.339116, 0.150430 
  139, [367.2135, 177], [190.213510, 36181.179439, 107.465260], 0.313003, 0.150430 
  144, [518.5208, 172], [0.000000, 0.000000, 0.000000], 0.442325, 0.146150 
  144, [442.7131, 172], [0.000000, 0.000000, 0.000000], 0.377533, 0.146150 
  144, [417.7735, 172], [0.000000, 0.000000, 0.000000], 0.356217, 0.146150 
  144, [394.0270, 172], [0.000000, 0.000000, 0.000000], 0.335921, 0.146150 
  144, [364.6966, 172], [192.696600, 37131.979644, 112.032907], 0.310852, 0.146150 
  149, [508.9458, 167], [0.000000, 0.000000, 0.000000], 0.434142, 0.141880 
  149, [436.7993, 167], [0.000000, 0.000000, 0.000000], 0.372478, 0.141880 
  149, [411.9088, 167], [0.000000, 0.000000, 0.000000], 0.351204, 0.141880 
  149, [387.3657, 167], [0.000000, 0.000000, 0.000000], 0.330227, 0.141880 
  149, [356.8726, 167], [189.872644, 36051.621101, 113.696194], 0.304165, 0.141880 
  154, [505.7008, 162], [0.000000, 0.000000, 0.000000], 0.431368, 0.137610 
  154, [430.2067, 162], [0.000000, 0.000000, 0.000000], 0.366843, 0.137610 
  154, [405.1744, 162], [0.000000, 0.000000, 0.000000], 0.345448, 0.137610 
  154, [380.8097, 162], [0.000000, 0.000000, 0.000000], 0.324624, 0.137610 
  154, [350.3083, 162], [188.308253, 35459.998143, 116.239662], 0.298554, 0.137610 
  159, [494.9804, 157], [0.000000, 0.000000, 0.000000], 0.422205, 0.133330 
  159, [423.9796, 157], [0.000000, 0.000000, 0.000000], 0.361521, 0.133330 
  159, [398.5923, 157], [0.000000, 0.000000, 0.000000], 0.339822, 0.133330 
  159, [373.8474, 157], [0.000000, 0.000000, 0.000000], 0.318673, 0.133330 
  159, [342.1538, 157], [185.153812, 34281.933925, 117.932364], 0.291584, 0.133330 
  164, [488.2406, 152], [0.000000, 0.000000, 0.000000], 0.416445, 0.129060 
  164, [417.4466, 152], [0.000000, 0.000000, 0.000000], 0.355937, 0.129060 
  164, [392.2903, 152], [0.000000, 0.000000, 0.000000], 0.334436, 0.129060 
  164, [367.4375, 152], [0.000000, 0.000000, 0.000000], 0.313194, 0.129060 
  164, [335.8042, 152], [183.804176, 33783.975018, 120.923800], 0.286157, 0.129060 
  169, [481.3386, 147], [0.000000, 0.000000, 0.000000], 0.410546, 0.124790 
  169, [409.6285, 147], [0.000000, 0.000000, 0.000000], 0.349255, 0.124790 
  169, [384.2605, 147], [0.000000, 0.000000, 0.000000], 0.327573, 0.124790 
  169, [358.7539, 147], [0.000000, 0.000000, 0.000000], 0.305773, 0.124790 
  169, [325.5002, 147], [178.500155, 31862.305424, 121.428677], 0.277351, 0.124790 
  174, [475.8909, 142], [0.000000, 0.000000, 0.000000], 0.405890, 0.120510 
  174, [406.8603, 142], [0.000000, 0.000000, 0.000000], 0.346889, 0.120510 
  174, [381.6977, 142], [0.000000, 0.000000, 0.000000], 0.325383, 0.120510 
  174, [356.6954, 142], [0.000000, 0.000000, 0.000000], 0.304013, 0.120510 
